,location_easting_osgr,location_northing_osgr,longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions_5,light_conditions_6,light_conditions_7,weather_conditions_Fog or mist,weather_conditions_Raining + high winds,weather_conditions_Raining no high winds,weather_conditions_Snowing + high winds,weather_conditions_Snowing no high winds,road_surface_conditions_3,road_surface_conditions_4,road_surface_conditions_9,day,month
0,508304,173795,-0.442713,51.452791,2,1,7,5,0,6,30,3,4,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,18,3
1,530005,181540,-0.127715,51.517831,1,1,6,3,400,9,30,6,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,27,1
2,525039,177006,-0.200853,51.478204,1,1,6,3,304,3,20,6,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1
3,531398,186729,-0.105715,51.56414,2,1,1,3,503,6,20,3,2,3,503,0,5,0,0,0,0,0,0,0,0,0,0,0,9,4
4,532561,176469,-0.092801,51.471667,2,1,5,3,215,6,30,6,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,4
5,536005,192306,-0.037131,51.613164,1,2,1,3,406,1,30,1,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,3
6,536193,181134,-0.038743,51.512726,2,1,2,3,13,6,20,6,2,3,1203,9,5,0,0,0,0,0,0,0,0,0,0,0,20,3
7,532545,168576,-0.095983,51.40074,3,5,3,6,0,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3
8,527865,176477,-0.160373,51.472818,2,1,5,6,0,9,20,0,-1,0,-1,9,9,0,0,0,0,0,1,0,0,0,0,0,13,4
9,518892,189449,-0.285127,51.591358,2,2,6,3,4140,6,30,3,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4
10,528382,168079,-0.155975,51.39723,4,1,7,3,236,3,30,0,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,18,3
11,516550,179759,-0.322126,51.504758,2,1,5,6,0,1,20,99,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4
12,515080,168948,-0.346811,51.407892,2,1,3,3,308,6,30,8,4,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,4,4
13,527551,194250,-0.158452,51.632611,2,1,4,6,0,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
14,530071,181297,-0.126854,51.515632,1,1,4,3,40,6,20,7,2,3,401,0,5,0,0,0,0,0,0,0,0,0,0,0,25,1
15,531268,179398,-0.110319,51.49829,2,1,4,3,302,6,20,3,4,6,0,0,4,0,0,0,0,0,1,0,0,0,0,0,8,3
16,518077,167379,-0.304263,51.393174,1,1,4,4,3370,1,20,1,4,4,3363,0,1,0,0,0,0,0,0,0,0,0,0,0,15,3
17,520010,165508,-0.277125,51.375954,2,1,2,3,240,3,40,6,2,6,0,9,5,0,0,0,0,0,0,0,0,0,0,0,27,2
18,534430,182148,-0.063747,51.52226,1,3,4,6,0,6,20,3,2,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,25,1
19,548160,188355,0.136625,51.574599,2,2,6,6,0,6,30,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
20,544698,188719,0.086853,51.578768,1,1,7,6,0,9,20,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
21,514195,176221,-0.357186,51.473439,1,1,6,5,0,6,20,3,4,6,0,0,5,0,0,0,0,0,1,0,0,0,0,0,10,3
22,532547,192521,-0.086962,51.61592,2,1,5,3,10,1,40,1,2,3,406,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2
23,543520,184983,0.06834,51.545499,2,2,5,3,406,3,50,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
24,538020,181014,-0.012478,51.511205,2,1,1,3,13,2,20,3,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1
25,538037,174922,-0.014612,51.456457,2,3,5,3,21,6,20,3,2,4,236,0,5,0,0,0,0,0,0,0,0,0,0,0,9,2
26,523846,175085,-0.218695,51.461202,2,1,7,3,205,6,20,3,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,3
27,525846,175771,-0.189678,51.466926,2,1,7,3,217,6,20,6,2,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,3
28,528963,184394,-0.14168,51.543717,2,1,5,3,400,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3
29,528376,181087,-0.151344,51.514132,2,1,6,5,0,2,20,6,2,3,40,9,5,0,0,0,0,0,1,0,0,0,0,0,17,3
30,519638,169914,-0.280983,51.415631,1,1,4,5,0,6,20,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
31,532005,179085,-0.099825,51.495306,2,1,6,3,3,6,30,3,4,3,201,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1
32,545464,191688,0.099129,51.605248,2,1,7,5,0,3,30,3,4,6,0,2,4,0,0,0,0,0,1,0,0,0,0,0,25,3
33,548727,188130,0.144706,51.572428,2,1,5,3,118,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
34,511131,187721,-0.397659,51.57741,1,1,2,5,0,6,30,6,4,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,13,2
35,516188,190344,-0.323847,51.599965,1,1,6,5,0,1,30,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
36,527132,179088,-0.169981,51.496448,2,1,5,3,4,3,30,9,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1
37,536705,172495,-0.034708,51.43497,2,1,2,3,212,3,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2
38,511004,180943,-0.401627,51.516515,2,1,7,3,4020,1,40,1,2,3,312,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
39,543943,182827,0.073556,51.526019,2,1,7,3,406,3,50,99,9,3,13,9,9,0,0,0,0,0,0,0,0,0,0,0,18,2
40,530965,175164,-0.11625,51.460311,2,1,7,3,23,6,30,0,-1,0,-1,0,5,0,0,0,0,0,0,0,0,0,0,0,15,4
41,531138,165274,-0.117416,51.371392,1,1,2,3,23,6,30,6,2,5,0,0,9,0,0,0,0,0,0,0,0,0,0,1,13,3
42,539247,167778,-1.3e-05,51.391964,2,1,7,4,251,6,30,7,2,4,228,0,5,0,0,0,0,0,0,0,0,0,0,0,11,3
43,542031,165107,0.038907,51.367274,2,1,7,3,232,6,30,6,2,3,233,0,5,0,0,0,0,0,0,0,0,0,0,0,4,3
44,533171,179182,-0.083002,51.495904,1,1,2,3,100,6,20,9,2,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,20,2
45,535198,179609,-0.053656,51.499261,1,1,4,6,0,6,30,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
46,533990,167449,-0.075648,51.390273,2,1,5,6,0,1,20,2,4,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,19,1
47,531214,169485,-0.11477,51.409218,3,1,4,6,0,6,20,6,4,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,25,1
48,524312,191483,-0.206207,51.608469,2,2,7,5,0,6,30,0,-1,0,-1,9,9,0,0,0,0,0,0,0,0,0,0,1,21,1
49,534190,181679,-0.067382,51.518102,2,1,4,6,0,6,20,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
50,526496,181660,-0.178217,51.519705,2,1,6,3,404,1,20,3,3,3,4206,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2
51,536368,182486,-0.0357,51.524833,2,1,1,3,11,6,30,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
52,527454,176353,-0.166332,51.471797,2,1,3,3,3205,9,20,99,9,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,21,2
53,533233,179734,-0.081901,51.50085,2,1,5,3,2205,2,20,9,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4
54,518876,169365,-0.292119,51.410857,2,1,5,3,308,6,30,9,2,3,2043,0,5,0,0,0,0,1,0,0,0,0,0,0,9,3
55,533809,175224,-0.075315,51.460185,2,2,7,3,2216,6,20,3,4,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,3
56,530889,188629,-0.112346,51.581332,2,1,1,6,0,6,20,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
57,508075,173348,-0.446144,51.448817,2,1,2,4,3003,6,20,1,2,3,30,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1
58,537088,170915,-0.029813,51.42068,1,1,1,6,0,6,30,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
59,541456,183227,0.03789,51.530241,1,1,3,3,124,6,30,3,2,4,167,0,5,0,0,0,0,0,0,0,0,0,0,1,17,1
